Insertion Order ID,Insertion Order,Line Item ID,Line Item,Audience Segment ID,Audience Segment,Inventory Type,Advertiser,Impressions,Clicks,Media Cost (Advertiser Currency),CTR,CPM,CPC,Total Conversions,Date,platform
78000002,Holiday Lookalike - Top Sellers Display,88000012,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,456369,6083,9910.44,1.33,21.72,1.63,183,2024-11-23,dv360
78000002,Holiday Lookalike - Value Props Connected TV,88000012,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,86520,1590,4035.32,1.84,46.64,2.54,68,2024-11-24,dv360
78000002,New Arrivals Lapsed Customers - Broad Connected TV,88000013,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,798457,8730,12662.74,1.09,15.86,1.45,227,2024-11-25,dv360
78000002,Evergreen High Intent - Core Terms Video,88000013,Video Audience Activation,aud_1002,Affinity - Fashionistas,Video,Northstar Retail,76219,1564,3024.74,2.05,39.68,1.93,109,2024-11-26,dv360
78000002,Evergreen Lookalike - Core Terms Video,88000014,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,48542,1816,1402.49,3.74,28.89,0.77,120,2024-11-27,dv360
78000002,Cyber Week High Intent - Gift Guide Display,88000014,Display Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Display,Northstar Retail,647748,10231,20820.70,1.58,32.14,2.04,625,2024-11-28,dv360
78000002,New Arrivals Lapsed Customers - Gift Guide Video,88000015,Video Audience Activation,aud_1005,Similar Audience - Purchasers,Video,Northstar Retail,927619,5759,12249.48,0.62,13.21,2.13,419,2024-11-29,dv360
78000002,Evergreen Prospecting - Gift Guide Connected TV,88000015,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,902546,55861,23137.38,6.19,25.64,0.41,2921,2024-11-30,dv360
78000002,Evergreen High Intent - Broad Display,88000016,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,530384,25608,18627.40,4.83,35.12,0.73,248,2024-11-01,dv360
78000002,Evergreen Lookalike - Gift Guide Display,88000016,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,551714,25319,5508.46,4.59,9.98,0.22,342,2024-11-02,dv360
78000002,Evergreen Cart Abandoners - Gift Guide Video,88000017,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,401197,10410,13091.60,2.59,32.63,1.26,608,2024-11-03,dv360
78000002,Loyalty Cart Abandoners - Core Terms Video,88000017,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,680578,22841,33226.23,3.36,48.82,1.45,446,2024-11-04,dv360
78000002,New Arrivals Retargeting - Promo Push Display,88000018,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,912330,31096,39411.98,3.41,43.20,1.27,2113,2024-11-05,dv360
78000002,Cyber Week Retargeting - Broad Connected TV,88000018,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,684134,5054,14000.42,0.74,20.46,2.77,115,2024-11-06,dv360
78000002,Evergreen Retargeting - Top Sellers Display,88000019,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,745515,17303,12731.75,2.32,17.08,0.74,1171,2024-11-07,dv360
78000002,Evergreen High Intent - Value Props Display,88000019,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,101529,3258,1241.22,3.21,12.23,0.38,243,2024-11-08,dv360
78000002,Evergreen Lapsed Customers - Promo Push Display,88000020,Display Audience Activation,aud_1003,Custom Intent - Holiday Deals,Display,Northstar Retail,413781,2967,12495.69,0.72,30.20,4.21,96,2024-11-09,dv360
78000002,Black Friday Retargeting - Top Sellers Display,88000020,Display Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Display,Northstar Retail,197025,2255,4629.95,1.14,23.50,2.05,175,2024-11-10,dv360
78000003,Evergreen Cart Abandoners - Value Props Video,88000021,Video Audience Activation,aud_1005,Similar Audience - Purchasers,Video,Northstar Retail,84007,2493,3410.34,2.97,40.60,1.37,80,2024-11-11,dv360
78000003,Evergreen High Intent - Broad Video,88000021,Video Audience Activation,aud_1006,Demographic - Parents,Video,Northstar Retail,819607,19333,22493.53,2.36,27.44,1.16,1336,2024-11-12,dv360
78000003,New Arrivals Lookalike - Gift Guide Display,88000022,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,703952,3148,30097.70,0.45,42.76,9.56,185,2024-11-13,dv360
78000003,Black Friday Prospecting - Top Sellers Connected TV,88000022,Connected TV Audience Activation,aud_1002,Affinity - Fashionistas,Connected TV,Northstar Retail,623294,27743,29137.20,4.45,46.75,1.05,1553,2024-11-14,dv360
78000003,Holiday Retargeting - Broad Video,88000023,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,235519,641,5116.70,0.27,21.73,7.98,6,2024-11-15,dv360
78000003,Loyalty Lapsed Customers - Broad Video,88000023,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,15609,98,430.87,0.63,27.60,4.40,4,2024-11-16,dv360
78000003,Holiday High Intent - Core Terms Display,88000024,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,305257,8605,13275.38,2.82,43.49,1.54,286,2024-11-17,dv360
78000003,Cyber Week Lookalike - Top Sellers Video,88000024,Video Audience Activation,aud_1006,Demographic - Parents,Video,Northstar Retail,148176,8733,4331.13,5.89,29.23,0.50,406,2024-11-18,dv360
78000003,Evergreen Cart Abandoners - Promo Push Connected TV,88000025,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,652492,41748,35811.46,6.40,54.88,0.86,2827,2024-11-19,dv360
78000003,Loyalty Retargeting - Promo Push Video,88000025,Video Audience Activation,aud_1002,Affinity - Fashionistas,Video,Northstar Retail,361707,6458,17292.65,1.79,47.81,2.68,74,2024-11-20,dv360
78000003,Evergreen Lookalike - Core Terms Video,88000026,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,460217,29130,13377.55,6.33,29.07,0.46,1746,2024-11-21,dv360
78000003,Black Friday Lapsed Customers - Top Sellers Connected TV,88000026,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,422990,4336,23069.25,1.03,54.54,5.32,137,2024-11-22,dv360
78000003,Loyalty Lapsed Customers - Value Props Display,88000027,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,720978,55301,6793.95,7.67,9.42,0.12,3569,2024-11-23,dv360
78000003,New Arrivals Prospecting - Value Props Connected TV,88000027,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,778526,15893,21195.70,2.04,27.23,1.33,303,2024-11-24,dv360
78000003,Loyalty Lapsed Customers - Promo Push Display,88000028,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,837479,15630,33145.92,1.87,39.58,2.12,140,2024-11-25,dv360
78000003,Evergreen Lapsed Customers - Value Props Connected TV,88000028,Connected TV Audience Activation,aud_1002,Affinity - Fashionistas,Connected TV,Northstar Retail,902029,57617,41013.58,6.39,45.47,0.71,629,2024-11-26,dv360
78000003,Loyalty Cart Abandoners - Gift Guide Display,88000029,Display Audience Activation,aud_1003,Custom Intent - Holiday Deals,Display,Northstar Retail,424811,10336,20605.73,2.43,48.51,1.99,353,2024-11-27,dv360
78000003,Evergreen Lookalike - Core Terms Connected TV,88000029,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,370519,1705,12472.20,0.46,33.66,7.32,72,2024-11-28,dv360
78000003,Cyber Week Cart Abandoners - Top Sellers Connected TV,88000030,Connected TV Audience Activation,aud_1005,Similar Audience - Purchasers,Connected TV,Northstar Retail,876800,16885,45231.18,1.93,51.59,2.68,811,2024-11-29,dv360
78000003,Black Friday Retargeting - Broad Connected TV,88000030,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,618317,34112,30615.25,5.52,49.51,0.90,2313,2024-11-30,dv360
78000004,Black Friday Retargeting - Top Sellers Connected TV,88000031,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,825115,12972,42513.19,1.57,51.52,3.28,272,2024-11-01,dv360
78000004,Holiday Cart Abandoners - Gift Guide Video,88000031,Video Audience Activation,aud_1002,Affinity - Fashionistas,Video,Northstar Retail,589242,24054,20532.48,4.08,34.85,0.85,1035,2024-11-02,dv360
78000004,Loyalty Prospecting - Top Sellers Video,88000032,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,518254,29066,13495.42,5.61,26.04,0.46,2086,2024-11-03,dv360
78000004,Loyalty Retargeting - Broad Connected TV,88000032,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,613350,42315,28338.53,6.90,46.20,0.67,1423,2024-11-04,dv360
78000004,Cyber Week High Intent - Broad Display,88000033,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,401001,16508,4666.19,4.12,11.64,0.28,790,2024-11-05,dv360
78000004,Holiday Lookalike - Value Props Video,88000033,Video Audience Activation,aud_1006,Demographic - Parents,Video,Northstar Retail,355820,12559,3220.46,3.53,9.05,0.26,746,2024-11-06,dv360
78000004,New Arrivals Cart Abandoners - Gift Guide Connected TV,88000034,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,547783,19578,4252.85,3.57,7.76,0.22,292,2024-11-07,dv360
78000004,Evergreen Prospecting - Value Props Connected TV,88000034,Connected TV Audience Activation,aud_1002,Affinity - Fashionistas,Connected TV,Northstar Retail,427335,30518,12978.14,7.14,30.37,0.43,1266,2024-11-08,dv360
78000004,Black Friday High Intent - Core Terms Video,88000035,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,581822,3736,13546.50,0.64,23.28,3.63,213,2024-11-09,dv360
78000004,Cyber Week Lapsed Customers - Promo Push Video,88000035,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,614108,25079,13366.38,4.08,21.77,0.53,1030,2024-11-10,dv360
78000004,Cyber Week High Intent - Promo Push Connected TV,88000036,Connected TV Audience Activation,aud_1005,Similar Audience - Purchasers,Connected TV,Northstar Retail,27465,82,221.15,0.30,8.05,2.70,4,2024-11-11,dv360
78000004,Black Friday Lapsed Customers - Core Terms Video,88000036,Video Audience Activation,aud_1006,Demographic - Parents,Video,Northstar Retail,267684,9762,12743.56,3.65,47.61,1.31,726,2024-11-12,dv360
78000004,Black Friday High Intent - Core Terms Connected TV,88000037,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,504696,27794,14975.20,5.51,29.67,0.54,224,2024-11-13,dv360
78000004,Evergreen Prospecting - Top Sellers Display,88000037,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,565284,14033,14473.43,2.48,25.60,1.03,490,2024-11-14,dv360
78000004,Holiday Lookalike - Broad Video,88000038,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,437571,22852,15372.42,5.22,35.13,0.67,604,2024-11-15,dv360
78000004,Cyber Week Prospecting - Broad Connected TV,88000038,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,274241,13539,14508.58,4.94,52.90,1.07,995,2024-11-16,dv360
78000004,Black Friday Lapsed Customers - Promo Push Display,88000039,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,537621,20390,14004.11,3.79,26.05,0.69,784,2024-11-17,dv360
78000004,Holiday Prospecting - Gift Guide Connected TV,88000039,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,664597,3476,10075.52,0.52,15.16,2.90,80,2024-11-18,dv360
78000004,New Arrivals Lapsed Customers - Value Props Display,88000040,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,395952,7146,19679.18,1.80,49.70,2.75,527,2024-11-19,dv360
78000004,Holiday Cart Abandoners - Promo Push Connected TV,88000040,Connected TV Audience Activation,aud_1002,Affinity - Fashionistas,Connected TV,Northstar Retail,60589,1104,2114.04,1.82,34.89,1.91,16,2024-11-20,dv360
78000005,Evergreen Lapsed Customers - Broad Video,88000041,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,898258,55495,44305.18,6.18,49.32,0.80,2743,2024-11-21,dv360
78000005,Holiday Lapsed Customers - Top Sellers Connected TV,88000041,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,737284,19623,12263.48,2.66,16.63,0.62,956,2024-11-22,dv360
78000005,Evergreen Prospecting - Promo Push Display,88000042,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,29280,1173,303.75,4.01,10.37,0.26,88,2024-11-23,dv360
78000005,New Arrivals Retargeting - Value Props Video,88000042,Video Audience Activation,aud_1006,Demographic - Parents,Video,Northstar Retail,208636,11072,7830.33,5.31,37.53,0.71,420,2024-11-24,dv360
78000005,Loyalty High Intent - Core Terms Display,88000043,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,276232,18648,5838.38,6.75,21.14,0.31,207,2024-11-25,dv360
78000005,Evergreen Lookalike - Value Props Display,88000043,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,603174,38741,31295.05,6.42,51.88,0.81,2477,2024-11-26,dv360
78000005,Black Friday High Intent - Core Terms Display,88000044,Display Audience Activation,aud_1003,Custom Intent - Holiday Deals,Display,Northstar Retail,296866,2687,10715.43,0.91,36.10,3.99,46,2024-11-27,dv360
78000005,Holiday Lapsed Customers - Top Sellers Display,88000044,Display Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Display,Northstar Retail,674595,32189,31833.06,4.77,47.19,0.99,1433,2024-11-28,dv360
78000005,Black Friday High Intent - Promo Push Video,88000045,Video Audience Activation,aud_1005,Similar Audience - Purchasers,Video,Northstar Retail,251287,8510,12588.33,3.39,50.10,1.48,321,2024-11-29,dv360
78000005,Holiday High Intent - Gift Guide Connected TV,88000045,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,589635,32162,13234.63,5.45,22.45,0.41,1809,2024-11-30,dv360
78000005,Loyalty Lookalike - Broad Display,88000046,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,682596,15057,18054.04,2.21,26.45,1.20,1095,2024-11-01,dv360
78000005,Black Friday High Intent - Gift Guide Connected TV,88000046,Connected TV Audience Activation,aud_1002,Affinity - Fashionistas,Connected TV,Northstar Retail,178903,4569,6880.17,2.55,38.46,1.51,180,2024-11-02,dv360
78000005,New Arrivals Prospecting - Broad Display,88000047,Display Audience Activation,aud_1003,Custom Intent - Holiday Deals,Display,Northstar Retail,130588,4625,5507.83,3.54,42.18,1.19,331,2024-11-03,dv360
78000005,Loyalty Cart Abandoners - Broad Connected TV,88000047,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,295080,8025,15708.91,2.72,53.24,1.96,117,2024-11-04,dv360
78000005,Loyalty Lookalike - Promo Push Video,88000048,Video Audience Activation,aud_1005,Similar Audience - Purchasers,Video,Northstar Retail,565020,16537,15960.83,2.93,28.25,0.97,1244,2024-11-05,dv360
78000005,Cyber Week Lapsed Customers - Broad Video,88000048,Video Audience Activation,aud_1006,Demographic - Parents,Video,Northstar Retail,478184,10782,15720.69,2.25,32.88,1.46,431,2024-11-06,dv360
78000005,Loyalty Lookalike - Value Props Display,88000049,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,631833,15519,22856.66,2.46,36.18,1.47,983,2024-11-07,dv360
78000005,New Arrivals Lapsed Customers - Promo Push Connected TV,88000049,Connected TV Audience Activation,aud_1002,Affinity - Fashionistas,Connected TV,Northstar Retail,821713,41507,35850.57,5.05,43.63,0.86,2546,2024-11-08,dv360
78000005,Black Friday Lapsed Customers - Promo Push Video,88000050,Video Audience Activation,aud_1003,Custom Intent - Holiday Deals,Video,Northstar Retail,658007,24827,29806.23,3.77,45.30,1.20,1382,2024-11-09,dv360
78000005,New Arrivals Lapsed Customers - Broad Video,88000050,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,92900,2932,797.75,3.16,8.59,0.27,58,2024-11-10,dv360
78000006,Loyalty Retargeting - Core Terms Display,88000051,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,642940,29427,20206.91,4.58,31.43,0.69,1610,2024-11-11,dv360
78000006,Evergreen Lookalike - Value Props Connected TV,88000051,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,341026,5331,7383.04,1.56,21.65,1.38,378,2024-11-12,dv360
78000006,New Arrivals Lapsed Customers - Gift Guide Display,88000052,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,158002,12043,7151.24,7.62,45.26,0.59,401,2024-11-13,dv360
78000006,Loyalty High Intent - Core Terms Display,88000052,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,320208,5408,6600.39,1.69,20.61,1.22,154,2024-11-14,dv360
78000006,Loyalty Lookalike - Value Props Display,88000053,Display Audience Activation,aud_1003,Custom Intent - Holiday Deals,Display,Northstar Retail,847766,4991,9439.11,0.59,11.13,1.89,96,2024-11-15,dv360
78000006,Loyalty Prospecting - Gift Guide Video,88000053,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,911516,60798,19360.59,6.67,21.24,0.32,1387,2024-11-16,dv360
78000006,Cyber Week Cart Abandoners - Gift Guide Connected TV,88000054,Connected TV Audience Activation,aud_1005,Similar Audience - Purchasers,Connected TV,Northstar Retail,493616,2484,24573.43,0.50,49.78,9.89,145,2024-11-17,dv360
78000006,Black Friday Lookalike - Promo Push Display,88000054,Display Audience Activation,aud_1006,Demographic - Parents,Display,Northstar Retail,705613,22487,26127.55,3.19,37.03,1.16,1722,2024-11-18,dv360
78000006,New Arrivals High Intent - Gift Guide Display,88000055,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,357464,7455,6823.50,2.09,19.09,0.92,498,2024-11-19,dv360
78000006,Black Friday Lapsed Customers - Promo Push Display,88000055,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,782205,51134,12203.97,6.54,15.60,0.24,423,2024-11-20,dv360
78000006,Evergreen Lapsed Customers - Gift Guide Connected TV,88000056,Connected TV Audience Activation,aud_1003,Custom Intent - Holiday Deals,Connected TV,Northstar Retail,424965,5742,11697.11,1.35,27.52,2.04,309,2024-11-21,dv360
78000006,Loyalty Cart Abandoners - Gift Guide Display,88000056,Display Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Display,Northstar Retail,571531,11616,13098.23,2.03,22.92,1.13,580,2024-11-22,dv360
78000006,Cyber Week Lapsed Customers - Value Props Display,88000057,Display Audience Activation,aud_1005,Similar Audience - Purchasers,Display,Northstar Retail,490575,13969,10177.09,2.85,20.75,0.73,261,2024-11-23,dv360
78000006,Cyber Week Lapsed Customers - Broad Display,88000057,Display Audience Activation,aud_1006,Demographic - Parents,Display,Northstar Retail,946544,61780,17725.78,6.53,18.73,0.29,3236,2024-11-24,dv360
78000006,Evergreen High Intent - Broad Connected TV,88000058,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,395792,16334,15932.07,4.13,40.25,0.98,1083,2024-11-25,dv360
78000006,Cyber Week Cart Abandoners - Core Terms Video,88000058,Video Audience Activation,aud_1002,Affinity - Fashionistas,Video,Northstar Retail,933258,39496,27184.30,4.23,29.13,0.69,1291,2024-11-26,dv360
78000006,Evergreen Lookalike - Top Sellers Connected TV,88000059,Connected TV Audience Activation,aud_1003,Custom Intent - Holiday Deals,Connected TV,Northstar Retail,565568,38670,5122.70,6.84,9.06,0.13,1563,2024-11-27,dv360
78000006,Holiday Lapsed Customers - Value Props Video,88000059,Video Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Video,Northstar Retail,107465,5974,884.13,5.56,8.23,0.15,251,2024-11-28,dv360
78000006,Black Friday High Intent - Promo Push Video,88000060,Video Audience Activation,aud_1005,Similar Audience - Purchasers,Video,Northstar Retail,757719,56069,27435.27,7.40,36.21,0.49,3339,2024-11-29,dv360
78000006,Holiday Lapsed Customers - Value Props Connected TV,88000060,Connected TV Audience Activation,aud_1006,Demographic - Parents,Connected TV,Northstar Retail,701867,18830,35226.74,2.68,50.19,1.87,619,2024-11-30,dv360
78000007,New Arrivals Retargeting - Core Terms Connected TV,88000061,Connected TV Audience Activation,aud_1001,In-market - Apparel & Accessories,Connected TV,Northstar Retail,84216,2468,2258.90,2.93,26.82,0.92,144,2024-11-01,dv360
78000007,New Arrivals Cart Abandoners - Gift Guide Video,88000061,Video Audience Activation,aud_1002,Affinity - Fashionistas,Video,Northstar Retail,21143,1532,642.95,7.25,30.41,0.42,79,2024-11-02,dv360
78000007,Holiday Lapsed Customers - Broad Connected TV,88000062,Connected TV Audience Activation,aud_1003,Custom Intent - Holiday Deals,Connected TV,Northstar Retail,761875,52694,31458.20,6.92,41.29,0.60,2077,2024-11-03,dv360
78000007,Holiday High Intent - Core Terms Connected TV,88000062,Connected TV Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Connected TV,Northstar Retail,114714,928,2771.75,0.81,24.16,2.99,37,2024-11-04,dv360
78000007,Cyber Week Lookalike - Gift Guide Connected TV,88000063,Connected TV Audience Activation,aud_1005,Similar Audience - Purchasers,Connected TV,Northstar Retail,591248,35784,11869.70,6.05,20.08,0.33,2052,2024-11-05,dv360
78000007,Black Friday High Intent - Core Terms Display,88000063,Display Audience Activation,aud_1006,Demographic - Parents,Display,Northstar Retail,311912,23514,11989.48,7.54,38.44,0.51,1808,2024-11-06,dv360
78000007,Cyber Week Retargeting - Gift Guide Display,88000064,Display Audience Activation,aud_1001,In-market - Apparel & Accessories,Display,Northstar Retail,289077,2621,15304.84,0.91,52.94,5.84,39,2024-11-07,dv360
78000007,Holiday Lookalike - Promo Push Display,88000064,Display Audience Activation,aud_1002,Affinity - Fashionistas,Display,Northstar Retail,173901,6719,8877.56,3.86,51.05,1.32,307,2024-11-08,dv360
78000007,Loyalty Lookalike - Promo Push Connected TV,88000065,Connected TV Audience Activation,aud_1003,Custom Intent - Holiday Deals,Connected TV,Northstar Retail,386396,12505,19355.46,3.24,50.09,1.55,821,2024-11-09,dv360
78000007,Evergreen Retargeting - Gift Guide Display,88000065,Display Audience Activation,aud_1004,Remarketing - Site Visitors 30d,Display,Northstar Retail,285101,11616,15059.22,4.07,52.82,1.30,113,2024-11-10,dv360
