campaignId,campaignName,adGroupId,adGroupName,targeting,campaignType,impressions,clicks,cost,clickThroughRate,costPerClick,purchases14d,sales14d,date,platform
amzn_cmp_00002,Holiday Retargeting - Top Sellers SPONSORED_PRODUCTS,amzn_ag_00011,ASIN Targeting 10,competitor ASIN,SPONSORED_PRODUCTS,332754,19547,14279.31,5.87,0.73,1045,138197.54,2024-11-11,amazon
amzn_cmp_00002,Holiday Lapsed Customers - Gift Guide SPONSORED_DISPLAY,amzn_ag_00012,Auto 11,kitchen storage,SPONSORED_DISPLAY,565995,33191,25516.50,5.86,0.77,1780,71717.04,2024-11-12,amazon
amzn_cmp_00002,Holiday Prospecting - Top Sellers SPONSORED_BRANDS_VIDEO,amzn_ag_00013,Manual Phrase 0,competitor ASIN,SPONSORED_BRANDS_VIDEO,829348,35225,8994.89,4.25,0.26,876,34373.17,2024-11-13,amazon
amzn_cmp_00002,Holiday Cart Abandoners - Value Props SPONSORED_BRANDS_VIDEO,amzn_ag_00014,ASIN Targeting 1,running shoes,SPONSORED_BRANDS_VIDEO,28597,411,1553.48,1.44,3.78,25,2004.85,2024-11-14,amazon
amzn_cmp_00002,Black Friday Cart Abandoners - Promo Push SPONSORED_BRANDS_VIDEO,amzn_ag_00015,Auto 2,running shoes,SPONSORED_BRANDS_VIDEO,401494,8905,15482.12,2.22,1.74,159,16242.98,2024-11-15,amazon
amzn_cmp_00002,New Arrivals Prospecting - Promo Push SPONSORED_DISPLAY,amzn_ag_00016,Manual Exact 3,holiday gifts,SPONSORED_DISPLAY,686400,18413,16084.67,2.68,0.87,479,68721.77,2024-11-16,amazon
amzn_cmp_00002,Evergreen Lookalike - Promo Push SPONSORED_BRANDS_VIDEO,amzn_ag_00017,ASIN Targeting 4,competitor ASIN,SPONSORED_BRANDS_VIDEO,142475,2905,3386.68,2.04,1.17,29,2461.83,2024-11-17,amazon
amzn_cmp_00002,Loyalty Cart Abandoners - Broad SPONSORED_BRANDS,amzn_ag_00018,ASIN Targeting 5,wireless earbuds,SPONSORED_BRANDS,231378,13442,5819.49,5.81,0.43,945,125315.09,2024-11-18,amazon
amzn_cmp_00002,Evergreen Lapsed Customers - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00019,Manual Phrase 6,running shoes,SPONSORED_BRANDS_VIDEO,577921,4251,15695.89,0.74,3.69,155,18612.71,2024-11-19,amazon
amzn_cmp_00002,Black Friday Cart Abandoners - Value Props SPONSORED_BRANDS,amzn_ag_00020,Auto 7,holiday gifts,SPONSORED_BRANDS,388116,28449,19266.32,7.33,0.68,1014,147371.27,2024-11-20,amazon
amzn_cmp_00003,New Arrivals Lookalike - Broad SPONSORED_BRANDS_VIDEO,amzn_ag_00021,ASIN Targeting 8,competitor ASIN,SPONSORED_BRANDS_VIDEO,399148,3586,12458.96,0.90,3.47,151,12246.67,2024-11-21,amazon
amzn_cmp_00003,Loyalty Lookalike - Top Sellers SPONSORED_BRANDS_VIDEO,amzn_ag_00022,Manual Phrase 9,competitor ASIN,SPONSORED_BRANDS_VIDEO,66676,1900,2296.63,2.85,1.21,36,1611.30,2024-11-22,amazon
amzn_cmp_00003,Holiday Prospecting - Core Terms SPONSORED_PRODUCTS,amzn_ag_00023,ASIN Targeting 10,running shoes,SPONSORED_PRODUCTS,111288,2636,1612.14,2.37,0.61,76,9489.47,2024-11-23,amazon
amzn_cmp_00003,Cyber Week High Intent - Promo Push SPONSORED_BRANDS,amzn_ag_00024,Auto 11,holiday gifts,SPONSORED_BRANDS,701701,40209,18060.79,5.73,0.45,3089,135726.13,2024-11-24,amazon
amzn_cmp_00003,Cyber Week Cart Abandoners - Core Terms SPONSORED_PRODUCTS,amzn_ag_00025,Auto 0,running shoes,SPONSORED_PRODUCTS,211412,15190,7207.24,7.19,0.47,748,38784.71,2024-11-25,amazon
amzn_cmp_00003,Black Friday Prospecting - Promo Push SPONSORED_DISPLAY,amzn_ag_00026,Manual Phrase 1,wireless earbuds,SPONSORED_DISPLAY,439386,20470,10530.59,4.66,0.51,217,22479.75,2024-11-26,amazon
amzn_cmp_00003,Holiday Cart Abandoners - Core Terms SPONSORED_BRANDS,amzn_ag_00027,Auto 2,kitchen storage,SPONSORED_BRANDS,231524,11956,10861.05,5.16,0.91,582,77764.09,2024-11-27,amazon
amzn_cmp_00003,Black Friday High Intent - Value Props SPONSORED_BRANDS,amzn_ag_00028,ASIN Targeting 3,competitor ASIN,SPONSORED_BRANDS,863995,11544,14641.36,1.34,1.27,670,72911.41,2024-11-28,amazon
amzn_cmp_00003,New Arrivals Retargeting - Broad SPONSORED_DISPLAY,amzn_ag_00029,ASIN Targeting 4,kitchen storage,SPONSORED_DISPLAY,431020,32310,17376.36,7.50,0.54,2149,147915.87,2024-11-29,amazon
amzn_cmp_00003,New Arrivals Retargeting - Gift Guide SPONSORED_PRODUCTS,amzn_ag_00030,Manual Phrase 5,competitor ASIN,SPONSORED_PRODUCTS,862498,22158,47402.75,2.57,2.14,807,80022.30,2024-11-30,amazon
amzn_cmp_00004,New Arrivals Retargeting - Core Terms SPONSORED_BRANDS,amzn_ag_00031,Auto 6,running shoes,SPONSORED_BRANDS,796894,53285,43087.45,6.69,0.81,1700,152296.66,2024-11-01,amazon
amzn_cmp_00004,Black Friday High Intent - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00032,Manual Exact 7,running shoes,SPONSORED_BRANDS_VIDEO,80187,812,3341.16,1.01,4.11,19,996.49,2024-11-02,amazon
amzn_cmp_00004,New Arrivals Lookalike - Core Terms SPONSORED_BRANDS_VIDEO,amzn_ag_00033,Manual Exact 8,holiday gifts,SPONSORED_BRANDS_VIDEO,794326,30710,14734.56,3.87,0.48,848,83190.33,2024-11-03,amazon
amzn_cmp_00004,Cyber Week Cart Abandoners - Broad SPONSORED_PRODUCTS,amzn_ag_00034,Auto 9,holiday gifts,SPONSORED_PRODUCTS,872615,55647,8473.22,6.38,0.15,2387,220582.79,2024-11-04,amazon
amzn_cmp_00004,Loyalty Cart Abandoners - Top Sellers SPONSORED_DISPLAY,amzn_ag_00035,Manual Exact 10,running shoes,SPONSORED_DISPLAY,30997,495,1167.47,1.60,2.36,4,289.14,2024-11-05,amazon
amzn_cmp_00004,Black Friday Lookalike - Top Sellers SPONSORED_BRANDS_VIDEO,amzn_ag_00036,Manual Phrase 11,holiday gifts,SPONSORED_BRANDS_VIDEO,868090,5395,40133.19,0.62,7.44,70,2896.89,2024-11-06,amazon
amzn_cmp_00004,Black Friday High Intent - Gift Guide SPONSORED_PRODUCTS,amzn_ag_00037,Auto 0,competitor ASIN,SPONSORED_PRODUCTS,838916,40075,32580.10,4.78,0.81,2464,174075.08,2024-11-07,amazon
amzn_cmp_00004,Loyalty Retargeting - Broad SPONSORED_BRANDS,amzn_ag_00038,ASIN Targeting 1,wireless earbuds,SPONSORED_BRANDS,348532,13181,15977.42,3.78,1.21,130,15366.47,2024-11-08,amazon
amzn_cmp_00004,Loyalty Retargeting - Core Terms SPONSORED_BRANDS,amzn_ag_00039,Manual Phrase 2,wireless earbuds,SPONSORED_BRANDS,728238,24884,27054.73,3.42,1.09,1390,80452.84,2024-11-09,amazon
amzn_cmp_00004,Holiday Prospecting - Broad SPONSORED_PRODUCTS,amzn_ag_00040,Auto 3,kitchen storage,SPONSORED_PRODUCTS,107767,6277,2143.97,5.83,0.34,362,32452.68,2024-11-10,amazon
amzn_cmp_00005,New Arrivals Cart Abandoners - Gift Guide SPONSORED_PRODUCTS,amzn_ag_00041,Manual Exact 4,wireless earbuds,SPONSORED_PRODUCTS,80060,5755,4061.59,7.19,0.71,445,20034.76,2024-11-11,amazon
amzn_cmp_00005,Holiday Retargeting - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00042,Manual Exact 5,kitchen storage,SPONSORED_BRANDS_VIDEO,695111,5864,8615.62,0.84,1.47,319,47081.49,2024-11-12,amazon
amzn_cmp_00005,Evergreen Lookalike - Broad SPONSORED_DISPLAY,amzn_ag_00043,Manual Phrase 6,kitchen storage,SPONSORED_DISPLAY,527277,33111,13188.53,6.28,0.40,781,77823.07,2024-11-13,amazon
amzn_cmp_00005,Black Friday Prospecting - Value Props SPONSORED_PRODUCTS,amzn_ag_00044,Manual Exact 7,running shoes,SPONSORED_PRODUCTS,485554,30514,7287.37,6.28,0.24,2106,314445.18,2024-11-14,amazon
amzn_cmp_00005,Evergreen High Intent - Promo Push SPONSORED_PRODUCTS,amzn_ag_00045,Manual Exact 8,wireless earbuds,SPONSORED_PRODUCTS,567708,39827,22898.22,7.02,0.57,888,120904.49,2024-11-15,amazon
amzn_cmp_00005,Cyber Week Lapsed Customers - Value Props SPONSORED_PRODUCTS,amzn_ag_00046,Manual Exact 9,wireless earbuds,SPONSORED_PRODUCTS,916998,28781,34747.69,3.14,1.21,1450,96911.64,2024-11-16,amazon
amzn_cmp_00005,Black Friday Lapsed Customers - Top Sellers SPONSORED_DISPLAY,amzn_ag_00047,Manual Phrase 10,kitchen storage,SPONSORED_DISPLAY,190213,7152,6631.71,3.76,0.93,382,15505.99,2024-11-17,amazon
amzn_cmp_00005,Evergreen Lapsed Customers - Broad SPONSORED_PRODUCTS,amzn_ag_00048,Auto 11,competitor ASIN,SPONSORED_PRODUCTS,865225,10529,38048.10,1.22,3.61,197,9060.94,2024-11-18,amazon
amzn_cmp_00005,New Arrivals Cart Abandoners - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00049,Auto 0,holiday gifts,SPONSORED_BRANDS_VIDEO,19241,1082,854.01,5.62,0.79,38,1620.86,2024-11-19,amazon
amzn_cmp_00005,Cyber Week Lookalike - Core Terms SPONSORED_BRANDS_VIDEO,amzn_ag_00050,Manual Phrase 1,competitor ASIN,SPONSORED_BRANDS_VIDEO,569549,39509,29717.10,6.94,0.75,1685,124648.47,2024-11-20,amazon
amzn_cmp_00006,Black Friday Prospecting - Top Sellers SPONSORED_DISPLAY,amzn_ag_00051,ASIN Targeting 2,competitor ASIN,SPONSORED_DISPLAY,575385,21446,31506.60,3.73,1.47,794,105358.76,2024-11-21,amazon
amzn_cmp_00006,Evergreen Retargeting - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00052,Manual Exact 3,kitchen storage,SPONSORED_BRANDS_VIDEO,521733,33993,5432.75,6.52,0.16,988,53166.37,2024-11-22,amazon
amzn_cmp_00006,Holiday Lookalike - Top Sellers SPONSORED_BRANDS_VIDEO,amzn_ag_00053,Auto 4,competitor ASIN,SPONSORED_BRANDS_VIDEO,511873,29378,12151.09,5.74,0.41,1412,93401.62,2024-11-23,amazon
amzn_cmp_00006,Black Friday Lapsed Customers - Broad SPONSORED_BRANDS,amzn_ag_00054,Auto 5,kitchen storage,SPONSORED_BRANDS,273130,9072,2348.38,3.32,0.26,269,28862.47,2024-11-24,amazon
amzn_cmp_00006,Loyalty Lapsed Customers - Broad SPONSORED_PRODUCTS,amzn_ag_00055,Manual Phrase 6,kitchen storage,SPONSORED_PRODUCTS,744770,37697,23766.21,5.06,0.63,2067,163835.00,2024-11-25,amazon
amzn_cmp_00006,Evergreen Lookalike - Broad SPONSORED_BRANDS_VIDEO,amzn_ag_00056,ASIN Targeting 7,kitchen storage,SPONSORED_BRANDS_VIDEO,311260,11565,6025.67,3.72,0.52,555,38545.85,2024-11-26,amazon
amzn_cmp_00006,Cyber Week Lookalike - Top Sellers SPONSORED_BRANDS,amzn_ag_00057,Manual Exact 8,competitor ASIN,SPONSORED_BRANDS,733375,24753,18275.55,3.38,0.74,1636,135541.27,2024-11-27,amazon
amzn_cmp_00006,Black Friday Retargeting - Broad SPONSORED_PRODUCTS,amzn_ag_00058,ASIN Targeting 9,wireless earbuds,SPONSORED_PRODUCTS,550904,12388,28111.91,2.25,2.27,779,107170.12,2024-11-28,amazon
amzn_cmp_00006,Loyalty Cart Abandoners - Top Sellers SPONSORED_DISPLAY,amzn_ag_00059,ASIN Targeting 10,kitchen storage,SPONSORED_DISPLAY,712546,25447,30069.68,3.57,1.18,1745,190153.43,2024-11-29,amazon
amzn_cmp_00006,Cyber Week High Intent - Value Props SPONSORED_DISPLAY,amzn_ag_00060,ASIN Targeting 11,competitor ASIN,SPONSORED_DISPLAY,588790,6611,19427.20,1.12,2.94,69,8687.67,2024-11-30,amazon
amzn_cmp_00007,Holiday Lookalike - Core Terms SPONSORED_BRANDS_VIDEO,amzn_ag_00061,Auto 0,holiday gifts,SPONSORED_BRANDS_VIDEO,233454,9357,7511.80,4.01,0.80,560,75614.55,2024-11-01,amazon
amzn_cmp_00007,New Arrivals Retargeting - Top Sellers SPONSORED_PRODUCTS,amzn_ag_00062,Manual Exact 1,competitor ASIN,SPONSORED_PRODUCTS,74138,3240,1746.74,4.37,0.54,208,30391.13,2024-11-02,amazon
amzn_cmp_00007,Evergreen Cart Abandoners - Core Terms SPONSORED_BRANDS,amzn_ag_00063,Manual Exact 2,wireless earbuds,SPONSORED_BRANDS,701155,46297,28027.23,6.60,0.61,1346,132655.05,2024-11-03,amazon
amzn_cmp_00007,Evergreen Cart Abandoners - Gift Guide SPONSORED_PRODUCTS,amzn_ag_00064,Manual Phrase 3,kitchen storage,SPONSORED_PRODUCTS,648483,2449,13497.47,0.38,5.51,95,12185.28,2024-11-04,amazon
amzn_cmp_00007,Cyber Week Retargeting - Core Terms SPONSORED_BRANDS,amzn_ag_00065,Manual Phrase 4,running shoes,SPONSORED_BRANDS,363115,3042,4777.97,0.84,1.57,177,6212.63,2024-11-05,amazon
amzn_cmp_00007,New Arrivals Cart Abandoners - Top Sellers SPONSORED_DISPLAY,amzn_ag_00066,ASIN Targeting 5,running shoes,SPONSORED_DISPLAY,369774,4746,15723.44,1.28,3.31,99,12934.63,2024-11-06,amazon
amzn_cmp_00007,Loyalty Lapsed Customers - Core Terms SPONSORED_DISPLAY,amzn_ag_00067,Manual Phrase 6,competitor ASIN,SPONSORED_DISPLAY,707541,46938,22903.59,6.63,0.49,682,83572.65,2024-11-07,amazon
amzn_cmp_00007,Cyber Week Retargeting - Value Props SPONSORED_PRODUCTS,amzn_ag_00068,ASIN Targeting 7,kitchen storage,SPONSORED_PRODUCTS,549571,7878,10591.12,1.43,1.34,412,55604.92,2024-11-08,amazon
amzn_cmp_00007,Loyalty High Intent - Promo Push SPONSORED_DISPLAY,amzn_ag_00069,Manual Phrase 8,running shoes,SPONSORED_DISPLAY,250913,16253,10477.98,6.48,0.64,534,37874.22,2024-11-09,amazon
amzn_cmp_00007,Cyber Week High Intent - Promo Push SPONSORED_PRODUCTS,amzn_ag_00070,Manual Exact 9,running shoes,SPONSORED_PRODUCTS,760387,8066,20648.24,1.06,2.56,374,16257.99,2024-11-10,amazon
amzn_cmp_00008,Holiday High Intent - Gift Guide SPONSORED_BRANDS,amzn_ag_00071,Auto 10,competitor ASIN,SPONSORED_BRANDS,52995,2832,604.35,5.34,0.21,213,15830.85,2024-11-11,amazon
amzn_cmp_00008,Cyber Week Cart Abandoners - Value Props SPONSORED_DISPLAY,amzn_ag_00072,Manual Exact 11,wireless earbuds,SPONSORED_DISPLAY,745459,7198,26841.40,0.97,3.73,285,21077.43,2024-11-12,amazon
amzn_cmp_00008,Evergreen Prospecting - Promo Push SPONSORED_BRANDS,amzn_ag_00073,ASIN Targeting 0,running shoes,SPONSORED_BRANDS,555437,3499,5089.67,0.63,1.45,31,2374.71,2024-11-13,amazon
amzn_cmp_00008,Holiday Cart Abandoners - Core Terms SPONSORED_PRODUCTS,amzn_ag_00074,Manual Exact 1,kitchen storage,SPONSORED_PRODUCTS,406962,14490,21419.91,3.56,1.48,1000,110734.50,2024-11-14,amazon
amzn_cmp_00008,Black Friday Lookalike - Value Props SPONSORED_PRODUCTS,amzn_ag_00075,Auto 2,holiday gifts,SPONSORED_PRODUCTS,481629,35624,4623.84,7.40,0.13,1059,105370.68,2024-11-15,amazon
amzn_cmp_00008,Evergreen High Intent - Value Props SPONSORED_BRANDS,amzn_ag_00076,Auto 3,wireless earbuds,SPONSORED_BRANDS,771656,21300,29116.56,2.76,1.37,280,23867.31,2024-11-16,amazon
amzn_cmp_00008,Cyber Week Lookalike - Promo Push SPONSORED_BRANDS,amzn_ag_00077,ASIN Targeting 4,competitor ASIN,SPONSORED_BRANDS,729896,22392,36429.75,3.07,1.63,953,72421.04,2024-11-17,amazon
amzn_cmp_00008,Holiday Prospecting - Top Sellers SPONSORED_DISPLAY,amzn_ag_00078,Manual Exact 5,holiday gifts,SPONSORED_DISPLAY,351589,21631,5076.19,6.15,0.23,615,72116.37,2024-11-18,amazon
amzn_cmp_00008,Loyalty Cart Abandoners - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00079,ASIN Targeting 6,wireless earbuds,SPONSORED_BRANDS_VIDEO,895538,66875,12057.17,7.47,0.18,4556,178443.66,2024-11-19,amazon
amzn_cmp_00008,Cyber Week Lapsed Customers - Core Terms SPONSORED_DISPLAY,amzn_ag_00080,Manual Exact 7,kitchen storage,SPONSORED_DISPLAY,593160,3112,15297.68,0.52,4.92,43,2306.53,2024-11-20,amazon
amzn_cmp_00009,New Arrivals Prospecting - Broad SPONSORED_BRANDS,amzn_ag_00081,Manual Exact 8,running shoes,SPONSORED_BRANDS,825237,60465,33006.46,7.33,0.55,3477,320240.00,2024-11-21,amazon
amzn_cmp_00009,Evergreen Cart Abandoners - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00082,Manual Phrase 9,wireless earbuds,SPONSORED_BRANDS_VIDEO,842417,32860,16548.41,3.90,0.50,368,43167.50,2024-11-22,amazon
amzn_cmp_00009,New Arrivals Lookalike - Broad SPONSORED_BRANDS_VIDEO,amzn_ag_00083,Manual Phrase 10,kitchen storage,SPONSORED_BRANDS_VIDEO,423549,10863,16363.86,2.56,1.51,500,29621.83,2024-11-23,amazon
amzn_cmp_00009,Evergreen Lookalike - Top Sellers SPONSORED_PRODUCTS,amzn_ag_00084,ASIN Targeting 11,competitor ASIN,SPONSORED_PRODUCTS,281660,7629,4015.24,2.71,0.53,450,32428.99,2024-11-24,amazon
amzn_cmp_00009,Loyalty Cart Abandoners - Value Props SPONSORED_BRANDS_VIDEO,amzn_ag_00085,Auto 0,competitor ASIN,SPONSORED_BRANDS_VIDEO,241136,5831,10488.97,2.42,1.80,52,5346.22,2024-11-25,amazon
amzn_cmp_00009,Cyber Week Lapsed Customers - Gift Guide SPONSORED_BRANDS_VIDEO,amzn_ag_00086,Manual Exact 1,kitchen storage,SPONSORED_BRANDS_VIDEO,691334,13828,7554.11,2.00,0.55,170,14335.19,2024-11-26,amazon
amzn_cmp_00009,Holiday Lookalike - Gift Guide SPONSORED_DISPLAY,amzn_ag_00087,Manual Exact 2,kitchen storage,SPONSORED_DISPLAY,686355,23339,7693.98,3.40,0.33,788,104621.95,2024-11-27,amazon
amzn_cmp_00009,Cyber Week Lookalike - Broad SPONSORED_BRANDS_VIDEO,amzn_ag_00088,Manual Exact 3,kitchen storage,SPONSORED_BRANDS_VIDEO,217772,9292,5350.57,4.27,0.58,450,24311.12,2024-11-28,amazon
amzn_cmp_00009,Loyalty Cart Abandoners - Core Terms SPONSORED_BRANDS,amzn_ag_00089,Manual Phrase 4,holiday gifts,SPONSORED_BRANDS,91547,462,4385.78,0.51,9.49,26,1689.19,2024-11-29,amazon
amzn_cmp_00009,Holiday Cart Abandoners - Top Sellers SPONSORED_PRODUCTS,amzn_ag_00090,Auto 5,holiday gifts,SPONSORED_PRODUCTS,443997,33763,20413.09,7.60,0.60,1536,192267.70,2024-11-30,amazon
amzn_cmp_00010,Holiday High Intent - Promo Push SPONSORED_BRANDS,amzn_ag_00091,ASIN Targeting 6,running shoes,SPONSORED_BRANDS,469810,4051,7174.32,0.86,1.77,58,3473.02,2024-11-01,amazon
amzn_cmp_00010,Cyber Week Cart Abandoners - Promo Push SPONSORED_BRANDS_VIDEO,amzn_ag_00092,Auto 7,wireless earbuds,SPONSORED_BRANDS_VIDEO,107855,6491,3673.12,6.02,0.57,141,13956.65,2024-11-02,amazon
amzn_cmp_00010,Black Friday Cart Abandoners - Top Sellers SPONSORED_BRANDS,amzn_ag_00093,Auto 8,holiday gifts,SPONSORED_BRANDS,890593,33732,16005.85,3.79,0.47,741,50677.10,2024-11-03,amazon
amzn_cmp_00010,Holiday Retargeting - Broad SPONSORED_DISPLAY,amzn_ag_00094,Auto 9,running shoes,SPONSORED_DISPLAY,860824,35955,8528.27,4.18,0.24,2088,177292.61,2024-11-04,amazon
amzn_cmp_00010,Loyalty High Intent - Core Terms SPONSORED_DISPLAY,amzn_ag_00095,Manual Exact 10,holiday gifts,SPONSORED_DISPLAY,34259,490,1396.12,1.43,2.85,5,745.24,2024-11-05,amazon
amzn_cmp_00010,Evergreen Lapsed Customers - Value Props SPONSORED_DISPLAY,amzn_ag_00096,ASIN Targeting 11,wireless earbuds,SPONSORED_DISPLAY,949060,15469,33824.94,1.63,2.19,1021,139586.66,2024-11-06,amazon
amzn_cmp_00010,Cyber Week Lapsed Customers - Promo Push SPONSORED_BRANDS,amzn_ag_00097,Manual Phrase 0,kitchen storage,SPONSORED_BRANDS,412766,29681,4683.65,7.19,0.16,897,47885.51,2024-11-07,amazon
amzn_cmp_00010,Black Friday Retargeting - Value Props SPONSORED_PRODUCTS,amzn_ag_00098,ASIN Targeting 1,competitor ASIN,SPONSORED_PRODUCTS,833666,37237,43232.83,4.47,1.16,739,70564.75,2024-11-08,amazon
amzn_cmp_00010,New Arrivals Prospecting - Value Props SPONSORED_BRANDS,amzn_ag_00099,ASIN Targeting 2,running shoes,SPONSORED_BRANDS,288699,10958,12973.83,3.80,1.18,378,44993.17,2024-11-09,amazon
amzn_cmp_00010,Loyalty Retargeting - Broad SPONSORED_PRODUCTS,amzn_ag_00100,Auto 3,kitchen storage,SPONSORED_PRODUCTS,314297,13654,5305.35,4.34,0.39,256,22479.45,2024-11-10,amazon
amzn_cmp_00011,Cyber Week Lookalike - Top Sellers SPONSORED_DISPLAY,amzn_ag_00101,Manual Phrase 4,running shoes,SPONSORED_DISPLAY,941147,65098,22996.87,6.92,0.35,1978,139837.43,2024-11-11,amazon
amzn_cmp_00011,Cyber Week Lapsed Customers - Value Props SPONSORED_BRANDS_VIDEO,amzn_ag_00102,Auto 5,wireless earbuds,SPONSORED_BRANDS_VIDEO,940182,24778,34171.96,2.64,1.38,1179,57176.44,2024-11-12,amazon
amzn_cmp_00011,Cyber Week Lapsed Customers - Gift Guide SPONSORED_BRANDS,amzn_ag_00103,ASIN Targeting 6,wireless earbuds,SPONSORED_BRANDS,927231,3243,32990.38,0.35,10.17,160,17027.94,2024-11-13,amazon
amzn_cmp_00011,Cyber Week Cart Abandoners - Promo Push SPONSORED_DISPLAY,amzn_ag_00104,Manual Phrase 7,running shoes,SPONSORED_DISPLAY,307504,2071,5146.52,0.67,2.49,70,9814.37,2024-11-14,amazon
amzn_cmp_00011,Holiday Cart Abandoners - Gift Guide SPONSORED_DISPLAY,amzn_ag_00105,Auto 8,competitor ASIN,SPONSORED_DISPLAY,243202,18356,11210.02,7.55,0.61,844,33422.87,2024-11-15,amazon
amzn_cmp_00011,Holiday Retargeting - Core Terms SPONSORED_DISPLAY,amzn_ag_00106,Auto 9,competitor ASIN,SPONSORED_DISPLAY,48668,483,1916.86,0.99,3.97,21,2847.18,2024-11-16,amazon
amzn_cmp_00011,Loyalty Cart Abandoners - Promo Push SPONSORED_DISPLAY,amzn_ag_00107,Manual Phrase 10,kitchen storage,SPONSORED_DISPLAY,145374,946,2163.44,0.65,2.29,11,421.92,2024-11-17,amazon
amzn_cmp_00011,Holiday Lookalike - Core Terms SPONSORED_PRODUCTS,amzn_ag_00108,Auto 11,competitor ASIN,SPONSORED_PRODUCTS,549723,28479,18351.06,5.18,0.64,842,33818.44,2024-11-18,amazon
amzn_cmp_00011,Black Friday Retargeting - Top Sellers SPONSORED_DISPLAY,amzn_ag_00109,Auto 0,kitchen storage,SPONSORED_DISPLAY,806178,4809,27852.00,0.60,5.79,366,50452.01,2024-11-19,amazon
amzn_cmp_00011,Holiday High Intent - Promo Push SPONSORED_PRODUCTS,amzn_ag_00110,Manual Phrase 1,competitor ASIN,SPONSORED_PRODUCTS,936539,15686,7040.31,1.67,0.45,942,131961.53,2024-11-20,amazon
amzn_cmp_00012,Loyalty Cart Abandoners - Promo Push SPONSORED_BRANDS,amzn_ag_00111,ASIN Targeting 2,kitchen storage,SPONSORED_BRANDS,40028,2957,1665.92,7.39,0.56,223,17563.91,2024-11-21,amazon
amzn_cmp_00012,Loyalty High Intent - Core Terms SPONSORED_BRANDS,amzn_ag_00112,Manual Phrase 3,holiday gifts,SPONSORED_BRANDS,90209,2968,3740.26,3.29,1.26,156,22235.85,2024-11-22,amazon
amzn_cmp_00012,Evergreen Lapsed Customers - Core Terms SPONSORED_PRODUCTS,amzn_ag_00113,ASIN Targeting 4,holiday gifts,SPONSORED_PRODUCTS,75379,4927,4037.01,6.54,0.82,156,23302.37,2024-11-23,amazon
amzn_cmp_00012,New Arrivals Retargeting - Top Sellers SPONSORED_BRANDS_VIDEO,amzn_ag_00114,Auto 5,kitchen storage,SPONSORED_BRANDS_VIDEO,859770,37709,12019.59,4.39,0.32,965,57723.56,2024-11-24,amazon
